,Questions,Category1
0,How did serfdom develop in and then leave Russia ?,desc
1,What films featured the character Popeye Doyle ?,desc
2,How can I find a list of celebrities ' real names ?,desc
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,desc
4,What is the full form of .com ?,desc
5,What contemptible scoundrel stole the cork from my lunch ?,desc
6,What team did baseball 's St. Louis Browns become ?,desc
7,find who killed jonas ?,desc
8,What are liver enzymes ?,desc
9,Name the scar-faced bounty hunter of The Old West .,desc
10,When was Ozzy Osbourne born ?,count
11,Which year did Obama become president?,desc
12,Who was The Pride of the Yankees ?,desc
13,Who killed Gandhi ?,desc
14,What is considered the costliest disaster the insurance industry has ever faced ?,desc
15,What sprawling U.S. state boasts the most airports ?,desc
16,What did the only repealed amendment to the U.S. Constitution deal with ?,desc
17,How many Jews were executed in concentration camps during WWII ?,count
18,What is `` Nine Inch Nails '' ?,desc
19,What is an annotated bibliography ?,desc
20,What is the date of Boxing Day ?,count
21,What articles of clothing are tokens in Monopoly ?,desc
22,Name 11 famous martyrs .,desc
23,What 's the Olympic motto ?,desc
24,What is the origin of the name ` Scarlett ' ?,desc
25,What 's the second-most-used vowel in English ?,desc
26,Who was the inventor of silly putty ?,desc
27,What is the highest waterfall in the United States ?,desc
28,Name a golf course in Myrtle Beach .,desc
29,Which two states enclose Chesapeake Bay ?,desc
30,What does the abbreviation AIDS stand for ?,desc
31,What does a spermologer collect ?,desc
32,How many points make up a perfect fivepin bowling score ?,count
33,Which company that manufactures video-game hardware sells the `` super system '' ?,desc
34,How many Community Chest cards are there in Monopoly ?,count
35,What do Mormons believe ?,desc
36,When did the neanderthal man live ?,count
37,In what religion was Isis the nature goddess ?,desc
38,Where do the adventures of `` The Swiss Family Robinson '' take place ?,desc
39,What relative of the racoon is sometimes known as the cat-bear ?,desc
40,How can I register my website in Yahoo for free ?,desc
41,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,desc
42,How many people in the world speak French ?,count
43,How many inches over six feet is the Venus de Milo ?,count
44,How do they find or choose witnesses to an execution ?,desc
45,What 1920s cowboy star rode Tony the Wonder Horse ?,desc
46,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,desc
47,What ISPs exist in the Caribbean ?,desc
48,How do you ask a total stranger out on a date ?,desc
49,What weapon is the mythological character Apollo most proficient with ?,desc
50,What country do the Galapagos Islands belong to ?,desc
51,What is ethology ?,desc
52,Who was the prophet of the Muslim people ?,desc
53,Where did the term `` 86ed '' come from ?,desc
54,Who is Snoopy 's arch-enemy ?,desc
55,What is the nature of learning ?,desc
56,What 's the only color Johnny Cash wears on stage ?,desc
57,What 's the term for a young fox ?,desc
58,What U.S. state lived under six flags ?,desc
59,What is the Kashmir issue ?,desc
60,Where is the Loop ?,desc
61,What does `` extended definition '' mean and how would one write a paper on it ?,desc
62,What country 's capital is Tirana ?,desc
63,What is titanium ?,desc
64,Who do Herb and Tootsie live next door to ?,desc
65,Which city has the oldest relationship as a sisterðcity with Los Angeles ?,desc
66,What is a caldera ?,desc
67,Why do people get calluses ?,desc
68,What are the names of the tourist attractions in Reims ?,desc
69,What are Cushman and Wakefield known for ?,desc
70,What body of water does the Danube River flow into ?,desc
71,Who is the founder of Scientology ?,desc
72,What does the six-footed Musca domestica become when it enters a house ?,desc
73,What is the history of skateboarding ?,desc
74,Who starred in Singing in the Rain and The Singing Nun ?,desc
75,How do I make fuel bricks from recycled newspaper ?,desc
76,What 19th-century painter died in the Marquesas Islands ?,desc
77,The corpus callosum is in what part of the body ?,desc
78,How do I log on to home page at Headquarters U.S. European Command ?,desc
79,"What country did the Nazis occupy for 1 ,CD NNS IN NNP NNP NNP .",desc
80,What is Nebraska 's most valuable resource ?,desc
81,How many species of the Great White shark are there ?,count
82,What is the origin of head lice ?,desc
83,What is the nickname for the state of Mississippi ?,desc
84,What was the first domesticated bird ?,desc
85,How many villi are found in the small intestine ?,count
86,What country did King Wenceslas rule ?,desc
87,What is a fear of shadows ?,desc
88,Who were the five Marx brothers ?,desc
89,In which year was New Zealand excluded from the ANZUS alliance ?,count
90,When did CNN begin broadcasting ?,count
91,What causes the body to shiver in cold temperatures ?,desc
