,Questions,Category1,type
0,How did serfdom develop in and then leave Russia ?,DESC,1
0,Count number of people who came for the show,NUM
0,find the sum of money collected over all the given years,NUM
0,find me the best resorts to stay,DESC
0,Which are the indoor games which kids can play?
0,Sum of collections,NUM
0,Total value of this one,NUM
0,Total price of all items,NUM
0,Total deaths caused due to chernobyl,NUM
0,get me the sum of all items bought today,NUM
0,Aggregate gdp in the past few years is,NUM
1,What films featured the character Popeye Doyle ?,ENTY,1
2,How can I find a list of celebrities ' real names ?,DESC,1
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTY,1
4,What is the full form of .com ?,ABBR,1
5,What contemptible scoundrel stole the cork from my lunch ?,HUM,1
6,What team did baseball 's St. Louis Browns become ?,HUM,1
7,What is the oldest profession ?,HUM,1
8,What are liver enzymes ?,DESC,1
9,Name the scar-faced bounty hunter of The Old West .,HUM,1
10,When was Ozzy Osbourne born ?,DESC,0
11,Why do heavier objects travel downhill faster ?,DESC,1
12,Who was The Pride of the Yankees ?,HUM,1
13,Who killed Gandhi ?,HUM,1
14,What is considered the costliest disaster the insurance industry has ever faced ?,ENTY,1
15,What sprawling U.S. state boasts the most airports ?,LOC,1
16,What did the only repealed amendment to the U.S. Constitution deal with ?,DESC,1
17,How many Jews were executed in concentration camps during WWII ?,NUM,0
18,What is `` Nine Inch Nails '' ?,DESC,1
19,What is an annotated bibliography ?,DESC,1
20,What is the date of Boxing Day ?,DESC,0
21,What articles of clothing are tokens in Monopoly ?,ENTY,1
22,Name 11 famous martyrs .,HUM,1
23,What 's the Olympic motto ?,DESC,1
24,What is the origin of the name ` Scarlett ' ?,DESC,1
25,What 's the second-most-used vowel in English ?,ENTY,1
26,Who was the inventor of silly putty ?,HUM,1
27,What is the highest waterfall in the United States ?,LOC,1
28,Name a golf course in Myrtle Beach .,ENTY,1
29,Which two states enclose Chesapeake Bay ?,LOC,1
30,What does the abbreviation AIDS stand for ?,ABBR,1
31,What does a spermologer collect ?,ENTY,1
32,How many points make up a perfect fivepin bowling score ?,NUM,0
33,Which company that manufactures video-game hardware sells the `` super system '' ?,HUM,1
34,How many Community Chest cards are there in Monopoly ?,NUM,0
35,What do Mormons believe ?,DESC,1
36,When did the neanderthal man live ?,DESC,0
37,In what religion was Isis the nature goddess ?,ENTY,1
38,Where do the adventures of `` The Swiss Family Robinson '' take place ?,LOC,1
39,What relative of the racoon is sometimes known as the cat-bear ?,ENTY,1
40,How can I register my website in Yahoo for free ?,DESC,1
41,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTY,1
42,How many people in the world speak French ?,NUM,0
43,How many inches over six feet is the Venus de Milo ?,NUM,0
44,How do they find or choose witnesses to an execution ?,DESC,1
45,What 1920s cowboy star rode Tony the Wonder Horse ?,HUM,1
46,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,ENTY,1
47,What ISPs exist in the Caribbean ?,HUM,1
48,How do you ask a total stranger out on a date ?,DESC,1
49,What weapon is the mythological character Apollo most proficient with ?,ENTY,1
50,What country do the Galapagos Islands belong to ?,LOC,1
51,What is ethology ?,DESC,1
52,Who was the prophet of the Muslim people ?,HUM,1
53,Where did the term `` 86ed '' come from ?,DESC,1
54,Who is Snoopy 's arch-enemy ?,HUM,1
55,What is the nature of learning ?,DESC,1
56,What 's the only color Johnny Cash wears on stage ?,ENTY,1
57,What 's the term for a young fox ?,ENTY,1
58,What U.S. state lived under six flags ?,LOC,1
59,What is the Kashmir issue ?,DESC,1
60,Where is the Loop ?,LOC,1
61,What does `` extended definition '' mean and how would one write a paper on it ?,DESC,1
62,What country 's capital is Tirana ?,LOC,1
63,What is titanium ?,DESC,1
64,Who do Herb and Tootsie live next door to ?,HUM,1
