,questions,types
0,Tell me what the notes are for South Australia ,0
1,What is the current series where the new series began in June 2011?,0
2,What is the format for South Australia?,0
3,Name the background colour for the Australian Capital Territory,0
4,how many times is the fuel propulsion is cng?,3
5,what is the fuel propulsion where the fleet series (quantity) is 310-329 (20)?,0
6,who is the manufacturer for the order year 1998?,0
7,how many times is the model ge40lfr?,3
8,how many times is the fleet series (quantity) is 468-473 (6)?,3
9,what is the powertrain (engine/transmission) when the order year is 2000?,0
10,What if the description of a ch-47d chinook?,0
11,What is the max gross weight of the Robinson R-22?,0
12,What school did player number 6 come from?,0
13,What school did the player that has been in Toronto from 2012-present come from?,0
14,What school did the player that has been in Toronto from 2010-2012 go to?,0
15,What position did the player from Baylor play?,0
16,Who played in the Toronto Raptors from 1995-96?,0
17,Which number was Patrick O'Bryant?,0
18,What school did Patrick O'Bryant play for?,0
19,How many number does Fordham school have?,3
20,Which school was in Toronto in 2001-02?,0
21,Which school did the player that played 2004-05 attend?,0
22,Which position does Loren Woods play?,0
23,What number is the player that played 1998-2001,2
24,Which country is the player that went to Georgetown from?,0
25,Which school did Herb Williams go to?,0
26,When did the player from Hawaii play for Toronto?,0
27,During what period did Dell Curry play for Toronto?,0
28,What's the number of the player from Boise State?,0
29,What's Dell Curry nationality?,0
30,which player is from georgia,0
31,what school is rudy gay from,0
32,what nationality is the player who played from 1997-98,0
33,what position did the player from connecticut play,0
34,During which years was Marcus Banks in Toronto?,0
35,Which positions were in Toronto in 2004?,0
36,What nationality is the player Muggsy Bogues?,0
37,What years was the player Lonny Baxter in Toronto?,0
38,How many players were with the school or club team La Salle?,3
39,"When the scoring rank was 117, what was the best finish?",0
40,"When the best finish was T69, how many people came in 2nd?",0
41,How many wins were there when the money list rank was 183?,3
42,"When the money list rank was n/a, what was the scoring average?",0
43,What time was the highest for 2nd finishers?,1
44,When did the Metrostars have their first Rookie of the Year winner?,2
45,What college did the Rookie of the Year from the Columbus Crew attend?,0
46,How many teams had a #1 draft pick that won the Rookie of the Year Award?,3
47,What position did the #10 draft pick play?,0
48,what's the years played with singles w-l of 3–2,0
49,what's the doubles w-l for player seol jae-min (none),0
50,what's the singles w-l for kim doo-hwan,0
51,what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,3
52,what's the doubles w-l with years played value of 1 (1968),0
53,what years are played for player  im chung-yang,0
54,What is the name of the 375 crest length?,0
55,What is year of construction of spitallamm?,2
56,What is the canton of grande dixence?,0
57,What is the name where lago di luzzone is?,0
58,What is the  guardian mātṛkā for the guardian whose consort is Svāhā?,0
59,"Where the mantra is ""oṃ yaṃ vāyuve namaḥ"", what is the direction of the guardian?",0
60,What weapon is used by the guardian whose consort is śacī?,0
61,What are the directions for the guardian whose weapon is khaḍga (sword)?,0
62,What are the weapons used by guardians for the direction East?,0
63,What are the directions for the guardian whose graha (planet) is bṛhaspati (Jupiter)?,0
64,"What is the number of chapters listed for the fraternity with a headquarters in Austin, Texas?",1
65,What are the members listed with the sorority classification,0
66,Name the member that has 12 chapters,0
67,Where is the headquarters of Alpha Nu Omega,0
68,what is the number of relapsing fever when malaria is 3000,2
69,what is the typhoid fever number for the year 1934,0
70,What are all the typhus number when smallpox is 4,0
71,what is the number of smallpox when typhoid fever is 293,1
72,what is the typhoid fever number for the year 1929,0
73,"How many schools are in Bloomington, IN?",3
74,How many of the schools are designated private/Presbyterian?,3
75,In what year was Lindenwood University founded?,2
76,"How many of the schools listed are in Ames, IA?",3
77,What is the capital (endonym) where Douglas is the Capital (exonym)?,0
78,How many countries (endonym) has the capital (endonym) of Jakarta?,3
79,What is the country (exonym) where the official or native language(s) (alphabet/script) is Icelandic?,0
80,In which country (endonym) is Irish English the official or native language(s) (alphabet/script)?,0
81,Which country (exonym) is the country (endonym) isle of man ellan vannin?,0
82,"The season premiere aired on September 11, 2000 aired on how many networks? ",3
83,"What was the ranking of the season finale aired on May 8, 2006? ",0
84,what is the minimum population canada 2011 census with seat of rcm being cowansville,2
85,what's the land area with seat of rcm being granby,0
86,What is the population for County Mayo with the English Name Carrowteige?,0
87,What is the Irish name listed with 62% Irish speakers?,0
88,What is the population for the Irish Name Leitir mealláin?,0
89,What is the county for the Irish name Carna?,0
90,How many County Kerry have 53% Irish speakers?,3
91,What is the population for the English name Spiddal?,0
92,What is the the Chinese population for the state that has a Filipino population of 1474707?,2
93,How many States have an Indian population of 30947?,3
94,What is the highest Indian population?,1
