Questions,Category1
Find the highest gdp in past ten years,max
What is the lowest marks scored in this class,min
Find the mean value of age of these patients,avg
What is the height of the tallest mountain in the world,max
What is the average age of a person in Ernakulam,avg
What is highest number of times a hummingbird can flap its wings in a minute,max
What is the average age of the human population,avg
What is the maximum number of days a person can go without food,max
What is the age of the worlds smallest astronaut,min
What is the minimum age required to marry,min
Find the average time a tree will take to completely decompose, avg
What is the age of the youngest student in your class,min
Find the lowest gdp in the past ten years,min
Find the highest increase per year in gdp in the last 5 decades,max
What is the average length of a human tongue, avg
Find the average gdp of pakistan for the last decade, avg
Find the age of the youngest grandmaster,min
Show the account balance of the richest man,max
What is the average savings of a 40 yr old person,avg
Note the average life expectancy of a cat, avg
Find the average salary of private school teachers in Kerala,avg
Find the maximum temperature recorded at Kovalam,max
What is the average price of mobile phone servicing in Trivandrum,avg
Find the average number of students attending PCOM lab per week,avg
What is the average age a child exposed to Endosulfan has lived,avg
What is the cheapest course on Machine Learning available on Coursera,min
What is the average ping for Fortnite on BSNL connections,avg
What is the maximum number of swear words ever used in a videogame,max
What is the maximum length of a video on Youtube,max
What is the average number of profile views for Google employees on LinkedIn,avg
What is the average distance a 5kg weight is thrown by a McDonald’s employee,avg
What is the maximum height of a human to be ever recorded, max
What is the minimum distance between earth and sun, min
Note the minimum temperature recorded on earth, min
What is the maximum age of a living thing ever recorded, max
Find the minimum number of trees cut down in an year, min
What is the greatest distance of a man-made object from earth, max
Find the highest victim count by a serial killer, max
Note the minimum distance that can be seen by a normal human eye, min
What is the minimum distance for an echo to be heard, min
What is the average height of a man, avg
What is the highest salary in India, max
What is the highest internet speed in the world,max
What is the shortest time to run a mile, min
what is the length of the longest train in the world, max
how long can man live without oxygen, max
What is the average life expectancy of a wild langoor,avg
What is the highest account balance of all the accounts in punjab national bank,max
Find the mean value of all the number of grapes each student has,avg
What is the length of the most smallest cricket bat,min
What is the height of the tallest tower in aluva,max
What is the average height of all the towers in india,avg
What is the time taken for the quickest million subscribers on youtube,min
What is the average age at which boys mature,avg
What is the average age at which women achieve menopause,avg
What is the price of the cheapest iphone,min
What is the price of the costliest samsung phone,max
What is the the height of the tallest building in the world,max
What is the price of the most expensive Laptop,max
What is the minimum age for legal marriage in India,min
What is the mean age for legal marriage globally,avg
What is the length of the longest bridge in Kerala,max
What is the world’s fastest Internet speed in mbps,max
What is the mean weight of all the women between 30 and 40 years of age,avg
What is the mean height of all the male humans in the World,avg
What is minimum time taken by a car to go from 0-60 mph,min
What is the highest battery capacity in mAh,max
What is the average weight of all the men in India,avg
What is the max shear strength of mild steel,max
What is the least time taken by phelps to swim 200 metres,min
What is the weight of the heaviest piece of jewellery in this shop,max
ag
What is the fastest speed in which a man can sprint,max
What is the age of the oldest woman in australia,max
What is the highest death toll recorded in a plane crash,max
What is the highest amount raised for any charity event in India,max
What is the average length of a cricket bat,avg
What was the lowest value of NIFTY in 2018,min
What is the average spending of Keralites on groceries in a month,avg
What is the average number of goals scored by ronaldo in a match,avg
What is the height of the shortest Mr.Olympia,min
What is the weight of the heaviest Mr. India,max
what is the least possible value of charge, min
what is the length of the largest crocodile ever found,max
what is the highest age a person has lived, max
what is the speed of world fastest car, max
What was the average value of sensex in 2019,avg
What is the average lifespan of dogs, avg
What is the average menstrual cycle for teenagers,avg
What is the average half-life of Uranium-238,avg
How long did the shortest war last,min
